phi3 		phi8 		V[GeV^4]
-0.08333	1.58771	-7.7746E-5
-0.08333	1.73205	-4.53197E-5
0		-1.73205	1.09664E-4
0		-1.58771	5.96307E-5
0		-1.44338	-4.24112E-4
0		-1.29904	-4.14442E-4
0		-1.1547	1.35529E-4
0		-1.01036	-3.9734E-4
0		-0.86603	-3.89967E-4
0		-0.72169	1.10702E-4
0		-0.57735	5.60935E-5
0		-0.43301	1.19487E-4
0		-0.28868	-3.72426E-4
0		-0.14434	-3.71102E-4
0		0		1.70377E-4
0		0.14434	-3.71102E-4
0		0.28868	-3.72426E-4
0		0.43301	1.19487E-4
0		0.57735	5.60935E-5
0		0.72169	1.10702E-4
0		0.86603	-3.89967E-4
0		1.01036	-3.9734E-4
0		1.1547	1.35529E-4
0		1.29904	-4.14442E-4
0		1.44338	-4.24112E-4
0		1.58771	5.96307E-5
0		1.73205	1.09664E-4
0.08333	-1.73205	-4.53197E-5
0.08333	-1.58771	-7.7746E-5
0.08333	-1.44338	-5.22169E-4
0.08333	-1.29904	-4.94247E-4
0.08333	-1.1547	-1.16125E-4
0.08333	-1.01036	-4.77149E-4
0.08333	-0.86603	-4.8803E-4
0.08333	-0.72169	-2.66847E-5
0.08333	-0.57735	-9.89034E-5
0.08333	-0.43301	-1.79012E-5
0.08333	-0.28868	-4.70492E-4
0.08333	-0.14434	-4.50915E-4
0.08333	0		-8.12838E-5
0.08333	0.14434	-4.50915E-4
0.08333	0.28868	-4.70492E-4
0.08333	0.43301	-1.79012E-5
0.08333	0.57735	-9.89034E-5
0.08333	0.72169	-2.66847E-5
0.08333	0.86603	-4.8803E-4
0.08333	1.01036	-4.77149E-4
0.08333	1.1547	-1.16125E-4
0.08333	1.29904	-4.94247E-4
0.08333	1.44338	-5.22169E-4
0.08333	1.58771	-7.7746E-5
0.08333	1.73205	-4.53197E-5
0.16667	-1.73205	-2.77548E-4
0.16667	-1.58771	-2.58652E-4
0.16667	-1.44338	-5.89681E-4
0.16667	-1.29904	-5.20306E-4
0.16667	-1.1547	-4.99575E-4
0.16667	-1.01036	-5.03218E-4
0.16667	-0.86603	-5.55562E-4
0.16667	-0.72169	-2.0762E-4
0.16667	-0.57735	-3.31171E-4
0.16667	-0.43301	-1.98841E-4
0.16667	-0.28868	-5.38034E-4
0.16667	-0.14434	-4.76999E-4
0.16667	0		-4.64753E-4
0.16667	0.14434	-4.76999E-4
0.16667	0.28868	-5.38034E-4
0.16667	0.43301	-1.98841E-4
0.16667	0.57735	-3.31171E-4
0.16667	0.72169	-2.0762E-4
0.16667	0.86603	-5.55562E-4
0.16667	1.01036	-5.03218E-4
0.16667	1.1547	-4.99575E-4
0.16667	1.29904	-5.20306E-4
0.16667	1.44338	-5.89681E-4
0.16667	1.58771	-2.58652E-4
0.16667	1.73205	-2.77548E-4
0.25		-1.73205	-3.71314E-4
0.25		-1.58771	-2.71878E-4
0.25		-1.44338	-4.29352E-4
0.25		-1.29904	-3.80753E-4
0.25		-1.1547	-6.42199E-4
0.25		-1.01036	-3.6368E-4
